id_n,Year,sector_code,Sector_long,Sector_short,QIP_flag,Spl_depr_flag,mintax_flag,Assets,Turnover,Age_2023,Audit_flag,Legal_form,assets,Oper_rev,Sub_rev,Other_rev,Op_wdv,Add_assets,Dispose_assets,Add_assets_spl,profit_before_tax,Donations_grants,non_ded_exp,unrecorded_inc,dec_provision,loss_disposal,other_ded_exp,dividends,capgain_disp_assets,other_inc,charity_cont,int_exp,int_inc,e41,depr,accum_inc,accum_exp,Loss_lag1,Loss_lag2,Loss_lag3,Loss_lag4,Loss_lag5,Loss_lag6,Loss_lag7,Loss_lag8,Loss_lag9,Loss_lag10,weight
1,2022,465,Import-export of food and non-alcoholic beverages,2,0,0,1,715105798,200788596,5,N,0,715105798,200788596,0,0,0,0,0,0,27273488,0,3507641,0,0,0,0,0,0,0,0,0,0,-105710815,0,0,0,64372720,0,10556966,0,0,0,0,0,0,0,1
2,2022,551,Accommodation,2,1,0,0,75713490430,28699525,8,Y,0,75713490430,0,0,28699525,787570548,0,0,0,-587274652,2058500,315763197,0,0,0,0,0,0,0,0,0,28699525,0,194670914,0,0,1243724879,849495778,476577687,409299148,1909792861,0,0,0,0,0,1
3,2022,464,Import-export of food and non-alcoholic beverages,2,0,0,0,763032342,0,2,Y,0,763032342,0,0,0,0,0,0,0,-21307767,0,726732,0,0,0,41170,0,0,0,0,0,0,0,0,0,0,15214897,0,0,0,0,0,0,0,0,0,1
4,2022,741,"Other professional, scientific and technical activities",2,0,0,0,189634293,359760000,5,N,0,189634293,359760000,0,0,0,0,0,0,38173838,0,0,0,0,0,0,0,0,0,0,0,0,-11470873,0,0,0,26702965,19545688,0,23310877,0,0,0,0,0,0,1
5,2022,410,CONSTRUCTION,2,0,0,0,317638723,466407804,4,N,0,317638723,466404300,0,3504,22835866,0,22835866,0,36560862,0,17384164,0,0,13516560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2022,791,Travel agency and related tourism activities,2,0,0,0,1901505499,0,7,N,1,1901505499,0,0,0,0,0,0,0,-12353870,0,884070,0,0,0,0,0,0,0,0,0,0,-67857328,0,0,0,11645570,17462494,14391690,12331136,14086992,0,0,0,0,0,1
7,2022,812,Services to buildings and landscape activities,2,0,0,1,287939481,26550533,1,N,0,287939481,26550533,0,0,0,0,0,0,-20652353,0,1372278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,2022,649,Financial service activities,2,0,0,0,36922782,0,8,N,0,36922782,0,0,0,93071,0,0,0,-44518307,0,1528656,0,0,0,0,0,0,0,0,0,0,0,46536,0,0,40321329,38715402,0,0,0,0,0,0,0,0,1
9,2022,561,Food and beverage service activities,2,0,0,1,1103472965,3732038844,2,N,0,1103472965,3535811179,0,196227665,142922121,0,0,0,121235029,0,49592559,0,0,0,0,0,0,0,0,24893688,0,-138007856,32819732,0,0,84228343,0,0,0,0,0,0,0,0,0,1
10,2022,561,Food and beverage service activities,2,0,0,1,460531696,83115725,6,N,0,460531696,28383833,54731892,0,0,0,0,0,-226974616,0,4546320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22973018,245390064,184151488,0,0,0,0,0,0,0,1
11,2022,990,Activities of extraterritorial organizations and bodies,2,1,0,0,405549920,0,4,N,0,405549920,0,0,0,0,0,0,0,-217602685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,2022,492,Transport,2,0,0,1,1307510597,433388862,8,N,0,1307510597,433388862,0,0,1011344,0,0,0,27557698,0,442551,0,0,0,0,0,0,0,0,0,0,-10000000,442551,0,0,13227206,58292997,0,0,0,0,0,0,0,0,1
13,2022,477,Sale of computers and electronic equipment,3,0,0,1,13009205205,1805570994,3,N,0,13009205205,1805570994,0,0,31829562,0,0,0,-300107411,0,9707474,0,0,0,0,0,0,0,0,0,0,0,7423057,0,0,225798066,18911993,0,0,0,0,0,0,0,0,1
14,2022,781,Employment activities,2,0,0,1,599147216,301965276,6,N,0,599147216,291772243,658720,9534313,34913625,0,0,0,-724486604,15017910,22116194,79663950,0,0,0,0,0,0,0,386691036,890260,0,17935720,0,0,524476205,886993760,411582961,361742764,180338784,0,0,0,0,0,1
15,2022,649,Financial service activities,2,0,0,1,42056171,2970025,6,N,0,42056171,2970025,0,0,0,0,0,0,-18921838,0,0,0,0,0,0,0,0,0,0,0,0,223978735,0,0,0,38735954,52093734,49134913,62185484,21828650,0,0,0,0,0,1
16,2022,464,Import-export of food and non-alcoholic beverages,2,0,0,0,322893362,53962926,4,N,0,322893362,53962926,0,0,0,0,0,0,-4481520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22189493,25672800,24865750,0,0,0,0,0,0,0,1
